Memcached 1.5.22,,,,,,,,,,,,avg rsp/s
,get (OP-TEE),1221,1156.7,1146.6,1169.3,1163.8,1160.6,1158.4,1163.5,1119.3,1110.7,1156.99
,get (OP-TEE with Lark),1149,1137.7,1171.2,1176.3,1169.7,1159.8,1171.3,1150.4,1026.7,1150,1146.21
,,,,,,,,,,,,
,set (OP-TEE),986,942.1,985.2,949.9,985.7,978.2,972,976.7,974.9,968,971.87
,set (OP-TEE with Lark),951,946.5,922,903.9,926,981.1,954.2,989.1,968.2,964.6,950.66
,,,,,,,,,,,,
Redis 5.0.7,,,,,,,,,,,,avg req/s
,get (OP-TEE),6333.12,6391.95,6273.53,6451.61,6264.28,6234.72,6257.05,6319.05,6510.42,6402.4,6343.813
,get (OP-TEE with Lark),6430.87,6108.74,6365.37,6108.74,6180.47,6300.66,6285.08,6293.27,6373.49,6125.11,6257.18
,,,,,,,,,,,,
,set (OP-TEE),4308.49,4317.79,4407.23,4246.28,4446.42,4192.87,4342.16,4385.96,4374.45,4472.27,4349.392
,set (OP-TEE with Lark),4374.45,4194.63,4315.93,4336.51,4352.36,4307.23,4385.96,4327.13,4244.44,4268.72,4310.736
,,,,,,,,,,,,
sysbench 1.0.18,,,,,,,,,,,,avg MiB/s
,read (OP-TEE),291.76,296.39,295.58,300.62,294.22,295.37,297.27,301.61,300.51,301.08,297.441
,read (OP-TEE with Lark),296.06,293.55,292.18,301.87,293.63,291.03,295.15,296.25,295.15,294.54,294.941
,,,,,,,,,,,,
,write (OP-TEE),327.47,342.27,344.88,344.03,348.5,350.54,350.62,353.51,349.79,354.68,346.629
,write (OP-TEE with Lark),347.58,351.19,347.46,342.03,343.4,337.1,346.56,342.55,344.13,342.85,344.485
,,,,,,,,,,,,
MBW 1.2.2,,,,,,,,,,,,avg MiB/s
,memcpy (OP-TEE),1703.578,1639.848,1603.347,1637.96,1615.448,1636.933,1598.062,1641.447,1641.447,1612.903,1633.0973
,memcpy (OP-TEE with Lark),1584.776,1604.255,1580.198,1622.932,1568.001,1583.308,1589.399,1610.154,1598.649,1602.496,1594.4168
,,,,,,,,,,,,
,dumb (OP-TEE),2397.094,2242.545,2102.462,1878.927,2243.174,2359.23,2413.455,2412.955,2395.523,2375.782,2282.1147
,dumb (OP-TEE with Lark),2288.96,2219.737,2206.995,2256.302,2217.003,2209.148,2279.746,2282.222,2293.105,2231.213,2248.4431
,,,,,,,,,,,,
,mcblock (OP-TEE),3022.503,2910.215,3071.238,3092.086,3133.185,3023.075,3085.006,2854.149,3056.497,3096.874,3034.4828
,mcblock (OP-TEE with Lark),2872.796,2934.145,2976.433,2970.134,2969.415,2899.45,2898.15,2921.701,2974.994,2969.897,2938.7115
,,,,,,,,,,,,
bandwidth 1.11.2d,,,,,,,,,,,,avg MB/s
,seq read (OP-TEE),4639.6,4554.6,4697.9,4803.1,4906,,,,,,4854.55
,seq read (OP-TEE with Lark),,,,4895.3,4826.1,,,,,,4860.7
,,,,,,,,,,,,
,seq write (OP-TEE),949.1,905.3,952.6,4251.3,4263.3,,,,,,4257.3
,seq write (OP-TEE with Lark),,,,4234.9,4233.3,,,,,,4234.1
,,,,,,,,,,,,
,rnd read (OP-TEE),637.6,625.5,643.1,676.3,633.1,,,,,,654.7
,rnd read (OP-TEE with Lark),,,,647,650.4,,,,,,648.7
,,,,,,,,,,,,
STREAM 5.10,,,,,,,,,,,,avg MB/s
,Copy (OP-TEE),10306.9,,,,,,,,,,10306.9
,Copy (OP-TEE with Lark),10118.9,,,,,,,,,,10118.9
,,,,,,,,,,,,
,Scale (OP-TEE),4735.8,,,,,,,,,,4735.8
,Scale (OP-TEE with Lark),4680.7,,,,,,,,,,4680.7
,,,,,,,,,,,,
,Add (OP-TEE),5837.9,,,,,,,,,,5837.9
,Add (OP-TEE with Lark),5713.1,,,,,,,,,,5713.1
,,,,,,,,,,,,
,Triad (OP-TEE),4301.1,,,,,,,,,,4301.1
,Triad (OP-TEE with Lark),4261.8,,,,,,,,,,4261.8
